Time 1-10.1.2.2-10.1.1.2 Aggregate-Flow
7.230000 0.040202 0.040202
7.240000 0.040196 0.040196
7.250000 0.040199 0.040199
7.260000 0.040202 0.040202
7.270000 0.040196 0.040196
7.280000 0.040200 0.040200
7.290000 0.040197 0.040197
7.300000 0.040196 0.040196
7.310000 0.040200 0.040200
7.320000 0.040201 0.040201
7.330000 0.040196 0.040196
7.340000 0.040197 0.040197
7.350000 0.040200 0.040200
7.360000 0.040199 0.040199
7.370000 0.040201 0.040201
7.380000 0.040197 0.040197
7.390000 0.040199 0.040199
7.400000 0.040197 0.040197
7.410000 0.040197 0.040197
7.420000 0.040200 0.040200
7.430000 0.040200 0.040200
7.440000 0.040198 0.040198
7.450000 0.040187 0.040187
7.460000 0.040184 0.040184
7.470000 0.040179 0.040179
7.480000 0.040177 0.040177
7.490000 0.040187 0.040187
7.500000 0.040185 0.040185
7.510000 0.040189 0.040189
7.520000 0.040186 0.040186
7.530000 0.040180 0.040180
7.540000 0.040176 0.040176
7.550000 0.040162 0.040162
7.560000 0.040178 0.040178
7.570000 0.040188 0.040188
7.580000 0.040181 0.040181
7.590000 0.040186 0.040186
7.600000 0.040181 0.040181
7.610000 0.040183 0.040183
7.620000 0.040175 0.040175
7.630000 0.040185 0.040185
7.640000 0.040181 0.040181
7.650000 0.040183 0.040183
7.660000 0.040181 0.040181
7.670000 0.040188 0.040188
7.680000 0.040171 0.040171
7.690000 0.040178 0.040178
7.700000 0.040184 0.040184
7.710000 0.040185 0.040185
7.720000 0.040183 0.040183
7.730000 0.040177 0.040177
7.740000 0.040184 0.040184
7.750000 0.040184 0.040184
7.760000 0.040186 0.040186
7.770000 0.040189 0.040189
7.780000 0.040181 0.040181
7.790000 0.040167 0.040167
7.800000 0.040159 0.040159
7.810000 0.040181 0.040181
7.820000 0.040185 0.040185
7.830000 0.040180 0.040180
7.840000 0.040184 0.040184
7.850000 0.040185 0.040185
7.860000 0.040184 0.040184
7.870000 0.040179 0.040179
7.880000 0.040190 0.040190
7.890000 0.040180 0.040180
7.900000 0.040169 0.040169
7.910000 0.040164 0.040164
7.920000 0.040178 0.040178
7.930000 0.040180 0.040180
7.940000 0.040167 0.040167
7.950000 0.040166 0.040166
7.960000 0.040182 0.040182
7.970000 0.040181 0.040181
7.980000 0.040167 0.040167
7.990000 0.040180 0.040180
8.000000 0.040180 0.040180
8.010000 0.040176 0.040176
8.020000 0.040176 0.040176
8.030000 0.040181 0.040181
8.040000 0.040165 0.040165
8.050000 0.040162 0.040162
8.060000 0.040185 0.040185
8.070000 0.040187 0.040187
8.080000 0.040184 0.040184
8.090000 0.040188 0.040188
8.100000 0.040185 0.040185
8.110000 0.040183 0.040183
8.120000 0.040173 0.040173
8.130000 0.040186 0.040186
8.140000 0.040182 0.040182
8.150000 0.040173 0.040173
8.160000 0.040158 0.040158
8.170000 0.040185 0.040185
8.180000 0.040186 0.040186
8.190000 0.040177 0.040177
8.200000 0.040182 0.040182
8.210000 0.040182 0.040182
8.220000 0.040182 0.040182
8.230000 0.040172 0.040172
